Name,State,Latitude,Longitude,Status
A1,Victoria,-37.5051,146.1997,Operating
Abel,New South Wales,-32.818419,151.621127,Care and maintenance
Abra,Western Australia,-24.643101,118.587279,Developing Mine
Adelong,New South Wales,-35.2935,148.0675,Developing Mine
Agate Creek,Queensland,-18.9942,143.5486,Operating
Agnew,Western Australia,-28.00071,120.5081,Operating
Agricola,South Australia,-36.1867,139.6796,Operating
Airly,New South Wales,-33.097754,150.01477,Operating
Ammaroo,Northern Territory,-21.792109,135.834839,Developing Mine
Amrun,Queensland,-12.973,141.633,Operating
Andy Well,Western Australia,-26.2278,118.6766,Care and maintenance
Angas,South Australia,-35.251066,138.915917,Care and maintenance
Angus Place,New South Wales,-33.349157,150.199019,Care and maintenance
Ant Hill,Western Australia,-22.090917,120.594976,Developing Mine
Appin,New South Wales,-34.2079,150.7918,Operating
Ardmore,Queensland,-21.647041,139.170007,Developing Mine
Argyle,Western Australia,-16.711645,128.383926,Care and maintenance
Ashton,New South Wales,-32.46667,151.06667,Operating
Atlas,Western Australia,-30.538165,115.248896,Developing Mine
Atlas-Campaspe,New South Wales,-33.7921,143.3413,Developing Mine
Avebury,Tasmania,-41.92011,145.24854,Care and maintenance
Avonbank,Victoria,-36.62,142.32,Developing Mine
Axehandle,Western Australia,-31.3165,119.3931,Operating
Baal Gammon,Queensland,-17.3805,145.326922,Care and maintenance
Balcooma,Queensland,-18.7718,144.713,Care and maintenance
Bald Hill,Tasmania,-41.9025,147.4553,Operating
Bald Hill,Western Australia,-31.513331,122.181148,Care and maintenance
Balla Balla,Western Australia,-20.765446,117.775173,Developing Mine
Ballarat East,Victoria,-37.5897,143.8597,Operating
Balline,Western Australia,-28.02938,114.183055,Developing Mine
Balranald,New South Wales,-34.45993,143.461186,Developing Mine
Bamboo Creek,Western Australia,-20.9307,120.2117,Operating
Baneygo,Western Australia,-27.9637,122.3123,Operating
Baralaba,Queensland,-24.164856,149.803238,Care and maintenance
Barbara,Queensland,-20.415343,139.850148,Care and maintenance
Barrambie,Western Australia,-27.433241,119.121101,Developing Mine
Bauxite Hills,Queensland,-11.83479,142.04488,Operating
Beatons Creek,Western Australia,-21.80833,120.4169,Operating
Bendigo,Victoria,-36.7948,144.2606,Care and maintenance
Beta Hunt,Western Australia,-31.24026,121.693915,Operating
Beyondie,Western Australia,-24.77,120.32,Operating
Big Bell,Western Australia,-27.3209,117.6542,Operating
Binjour,Queensland,-25.5,151.5,Developing Mine
Black Swan,Western Australia,-30.3934,121.652,Care and maintenance
Blackwater,Queensland,-23.685585,148.807361,Operating
Blackwater Silica,Tasmania,-41.1101,144.9469,Operating
Blair Athol,Queensland,-22.6905,147.527,Operating
Bloomfield,New South Wales,-32.792189,151.566962,Operating
Blue Hills North,Western Australia,-29.1412,116.862,Care and maintenance
Bluff,Queensland,-23.520513,149.063875,Care and maintenance
Boddington,Western Australia,-32.7509,116.3581,Operating
Boggabri,New South Wales,-30.590411,150.163344,Operating
Boonanarring,Western Australia,-31.223684,115.834639,Operating
Bootu Creek,Northern Territory,-18.699756,134.125836,Operating
British King,Western Australia,-27.9404,121.2437,Care and maintenance
Broadlea,Queensland,-21.9267,148.1825,Operating
Brockman 2,Western Australia,-22.4124,117.3376,Operating
Brockman 4,Western Australia,-22.598301,117.220398,Operating
Broken Hill,New South Wales,-31.9665,141.465,Operating
Browns Range,Western Australia,-18.859476,128.939813,Operating
Bulga,New South Wales,-32.68684,151.109984,Operating
Bungarra,Western Australia,-27.397079,121.46613,Operating
Burbanks,Western Australia,-31.0279,121.1375,Care and maintenance
Burton,Queensland,-21.588585,148.172558,Care and maintenance
Butcherbird - Yanneri,Western Australia,-24.367,119.683,Operating
Byerwen,Queensland,-21.35,147.81,Operating
Cadia East,New South Wales,-33.465,149.0123,Operating
Callide,Queensland,-24.310921,150.622173,Operating
Cameby Downs,Queensland,-26.578622,150.287178,Operating
Cannington,Queensland,-21.8658,140.9199,Operating
Cannon,Western Australia,-30.8161,121.7629,Care and maintenance
Capcoal,Queensland,-22.902571,148.551017,Operating
Cape Flattery,Queensland,-14.985,145.2722,Operating
Capricorn Copper,Queensland,-19.694925,139.363156,Operating
Carborough Downs,Queensland,-21.9502,148.2094,Operating
Carmichael,Queensland,-22.018,146.322,Developing Mine
Carnilya,Western Australia,-31.054546,121.862138,Care and maintenance
Carosue Dam,Western Australia,-30.12,122.35,Operating
Carrapateena,South Australia,-31.2175,137.4984,Operating
Cassini,Western Australia,-31.700939,121.621101,Developing Mine
Cataby,Western Australia,-30.7351,115.5387,Operating
Caval Ridge,Queensland,-22.221466,148.17199,Operating
Cawse,Western Australia,-30.368888,121.148544,Care and maintenance
Central Eyre,South Australia,-33.2438,135.6677,Developing Mine
Century,Queensland,-18.738057,138.625021,Operating
Chain Valley,New South Wales,-33.163056,151.550004,Operating
Challenger,South Australia,-29.8782,133.5889,Care and maintenance
Channar,Western Australia,-23.29938,117.788592,Operating
Charbon,New South Wales,-32.896406,149.977664,Care and maintenance
Charters Towers,Queensland,-20.0757,146.2666,Care and maintenance
Chesney,New South Wales,-31.521219,145.857797,Operating
Christmas Creek,Western Australia,-22.376169,119.758987,Operating
Clarence,New South Wales,-33.456479,150.24393,Operating
Clermont,Queensland,-22.689216,147.630768,Operating
Cliffs,Western Australia,-27.310489,120.552825,Operating
Cloudbreak,Western Australia,-22.302778,119.396385,Operating
Cobar,New South Wales,-31.40802,145.798597,Operating
Coburn,Western Australia,-26.70377,114.126953,Developing Mine
Cockatoo Island,Western Australia,-16.094966,123.607113,Care and maintenance
Cock-eyed Bob,Western Australia,-31.0895,122.1761,Operating
Collinsville,Queensland,-20.567608,147.768557,Operating
Comet Vale,Western Australia,-29.954928,121.131043,Care and maintenance
Commodore,Queensland,-27.930269,151.279051,Operating
Coobina,Western Australia,-23.504898,120.277372,Care and maintenance
Cook,Queensland,-23.709213,148.914684,Care and maintenance
Cooljarloo,Western Australia,-30.593306,115.360681,Operating
Coppabella,Queensland,-21.844554,148.427187,Operating
