Country,Export Value,Import Value,Continent,Year
China,3474454,5568963,Asia,2000
Japan,12600200,9413281,Asia,2000
Korea,5230432,2936882,Asia,2000
United Kingdom,2168863,4174793,Eurpoe,2000
United States,6343590,14255578,North America,2000
India,1059580,452753,Asia,2000
Singapore,3386434,2234450,Asia,2000
New Zealand,3798138,2739145,Oceania,2000
Malaysia,1366546,2590675,Asia,2000
"Hong Kong, China",2063754,775703,Asia,2000
China,3917959,5625308,Asia,2001
Japan,12255377,8344980,Asia,2001
"Korea, Rep.",4925112,2516281,Asia,2001
United Kingdom,2685677,3376323,Eurpoe,2001
United States,6170683,11729046,North America,2001
India,1252743,445302,Asia,2001
Singapore,2764993,2138127,Asia,2001
New Zealand,3711513,2583996,Oceania,2001
Malaysia,1339130,2120765,Asia,2001
"Hong Kong, China",2162921,758939,Asia,2001
China,4557231,7332896,Asia,2002
Japan,12064746,9062529,Asia,2002
"Korea, Rep.",5431902,2716634,Asia,2002
United Kingdom,3051556,3312087,Eurpoe,2002
United States,6308652,13340675,North America,2002
India,1350323,541361,Asia,2002
Singapore,2697271,2425589,Asia,2002
New Zealand,4321322,2798753,Oceania,2002
Malaysia,1247859,2221991,Asia,2002
"Hong Kong, China",1927438,747241,Asia,2002
China,5922091,9832373,Asia,2003
Japan,12820287,11131503,Asia,2003
"Korea, Rep.",5267086,3227695,Asia,2003
United Kingdom,4822895,3706981,Eurpoe,2003
United States,6158398,14194301,North America,2003
India,2175138,675885,Asia,2003
Singapore,2283471,3031478,Asia,2003
New Zealand,5307658,3441889,Oceania,2003
Malaysia,1354816,2951506,Asia,2003
"Hong Kong, China",1870991,779715,Asia,2003
China,8094988,14073256,Asia,2004
Japan,16314189,12881768,Asia,2004
"Korea, Rep.",6740744,3805348,Asia,2004
United Kingdom,3713921,4392072,Eurpoe,2004
United States,7009495,16111107,North America,2004
India,3991108,885286,Asia,2004
Singapore,2388143,4796864,Asia,2004
New Zealand,6444982,4026720,Oceania,2004
Malaysia,1784668,4280578,Asia,2004
"Hong Kong, China",2001658,978325,Asia,2004
China,12302482,17341183,Asia,2005
Japan,21703963,13765147,Asia,2005
Korea,8359626,4148449,Asia,2005
United Kingdom,3788420,4899175,Eurpoe,2005
United States,7069127,17460413,North America,2005
India,5322623,995383,Asia,2005
Singapore,3020183,6902212,Asia,2005
New Zealand,6866766,4355649,Oceania,2005
Malaysia,1917088,4832416,Asia,2005
"Hong Kong, China",2034920,1058263,Asia,2005
China,15356473,20327744,Asia,2006
Japan,24446820,13711754,Asia,2006
"Korea, Rep.",9310297,5451304,Asia,2006
United Kingdom,6114960,4895223,Eurpoe,2006
United States,7583157,19664100,North America,2006
India,6644789,1023494,Asia,2006
Singapore,3436780,8433882,Asia,2006
New Zealand,6738632,4359327,Oceania,2006
Malaysia,2135958,5258621,Asia,2006
"Hong Kong, China",2366142,1292509,Asia,2006
China,19967514,25898023,Asia,2007
Japan,26801196,15907701,Asia,2007
"Korea, Rep.",11306985,5227402,Asia,2007
United Kingdom,5883783,6997323,Eurpoe,2007
United States,8417110,21252492,North America,2007
India,7802195,1296619,Asia,2007
Singapore,3416831,9182734,Asia,2007
New Zealand,7955249,5506316,Oceania,2007
Malaysia,2644931,6376348,Asia,2007
"Hong Kong, China",2347973,1229455,Asia,2007
China,27225182,31588261,Asia,2008
Japan,42731585,18049343,Asia,2008
"Korea, Rep.",15485802,5730763,Asia,2008
United Kingdom,7844216,8657782,Eurpoe,2008
United States,10184268,24256280,North America,2008
India,11379978,1642098,Asia,2008
Singapore,5154095,14230994,Asia,2008
New Zealand,7867169,6717551,Oceania,2008
Malaysia,3361561,7870859,Asia,2008
"Hong Kong, China",2528201,1274161,Asia,2008
China,33389244,29211722,Asia,2009
Japan,30014166,13476040,Asia,2009
"Korea, Rep.",12281989,5293360,Asia,2009
United Kingdom,7076845,5044260,Eurpoe,2009
United States,7467441,18669858,North America,2009
India,11363671,1667570,Asia,2009
Singapore,4202533,8792367,Asia,2009
New Zealand,6221601,5327365,Oceania,2009
Malaysia,2457131,5961527,Asia,2009
"Hong Kong, China",2256754,985979,Asia,2009
China,53740402,38004358,Asia,2010
Japan,40088026,17526279,Asia,2010
Korea,18829447,6889100,Asia,2010
United Kingdom,7638634,5532222,Eurpoe,2010
United States,8430740,22561955,North America,2010
India,15109408,1912248,Asia,2010
Singapore,4453662,10079072,Asia,2010
New Zealand,7356810,6887973,Oceania,2010
Malaysia,3347100,8562455,Asia,2010
"Hong Kong, China",2893507,1091843,Asia,2010
China,73804137,43447910,Asia,2011
Japan,52088076,18577829,Asia,2011
"Korea, Rep.",24008837,7352557,Asia,2011
United Kingdom,7784569,6939311,Eurpoe,2011
United States,9844791,26797969,North America,2011
India,15750321,2297365,Asia,2011
Singapore,6580458,14596109,Asia,2011
New Zealand,7926787,7829937,Oceania,2011
Malaysia,4638583,8779593,Asia,2011
"Hong Kong, China",3086335,1173821,Asia,2011
China,75836312,45996261,Asia,2012
Japan,49680327,19712941,Asia,2012
"Korea, Rep.",20540981,10201262,Asia,2012
United Kingdom,6930897,6953421,Eurpoe,2012
United States,9515735,29386824,North America,2012
India,12611730,2677047,Asia,2012
Singapore,7374404,15010975,Asia,2012
New Zealand,7665860,7528441,Oceania,2012
Malaysia,5256062,9928191,Asia,2012
"Hong Kong, China",2650745,1233536,Asia,2012
China,87311419,44861052,Asia,2013
Japan,31251834,17946305,Asia,2013
"Korea, Rep.",17710695,9422432,Asia,2013
United Kingdom,3542184,5964836,Eurpoe,2013
United States,7603068,23820299,North America,2013
India,8453698,2282313,Asia,2013
Singapore,5227307,12144185,Asia,2013
New Zealand,6785539,6996420,Oceania,2013
Malaysia,4457750,8846118,Asia,2013
"Hong Kong, China",2466223,1173729,Asia,2013
China,81413613,46854594,Asia,2014
Japan,43135787,15478595,Asia,2014
"Korea, Rep.",17891714,10614475,Asia,2014
United Kingdom,3312570,5484532,Eurpoe,2014
United States,9943290,24148859,North America,2014
India,7995340,2768026,Asia,2014
Singapore,7609099,11396038,Asia,2014
New Zealand,7179159,7081296,Oceania,2014
Malaysia,5431982,10036756,Asia,2014
"Hong Kong, China",2544694,1077904,Asia,2014
China,61012456,46292722,Asia,2015
Japan,29826962,14793098,Asia,2015
Korea,13299325,8890,Asia,2015
United Kingdom,2785303,5338147,Eurpoe,2015
United States,9977449,22560990,North America,2015
India,7946612,3580674,Asia,2015
Singapore,5092143,6959026,Asia,2015
New Zealand,6262277,5726842,Oceania,2015
Malaysia,3424096,7391929,Asia,2015
"Hong Kong, China",2429770,903757,Asia,2015
China,59992750,44241022,Asia,2016
Japan,26344515,14593655,Asia,2016
"Korea, Rep.",12770223,8099730,Asia,2016
United Kingdom,7504115,5310179,Eurpoe,2016
United States,8761918,21703312,North America,2016
India,7919028,3253180,Asia,2016
Singapore,4115667,5219372,Asia,2016
New Zealand,6462074,5626678,Oceania,2016
Malaysia,3504835,6912294,Asia,2016
"Hong Kong, China",7207581,691601,Asia,2016
China,68471064,49971610,Asia,2017
Japan,24179669,16523673,Asia,2017
"Korea, Rep.",13232653,15892263,Asia,2017
United Kingdom,4549840,5433704,Eurpoe,2017
United States,8434027,23612147,North America,2017
India,10856139,4011527,Asia,2017
Singapore,3616274,6377955,Asia,2017
New Zealand,6801320,6059371,Oceania,2017
Malaysia,3400838,8632211,Asia,2017
"Hong Kong, China",9123399,590671,Asia,2017
China,87726225,57699422,Asia,2018
Japan,41355759,17351100,Asia,2018
"Korea, Rep.",17745604,10182484,Asia,2018
United Kingdom,3611194,5604748,Eurpoe,2018
United States,9552814,24664658,North America,2018
India,12369312,4241950,Asia,2018
Singapore,7327463,8822141,Asia,2018
New Zealand,7167242,6057062,Oceania,2018
Malaysia,5525384,9912706,Asia,2018
"Hong Kong, China",7676459,768004,Asia,2018
China,102995845,56946556,Asia,2019
Japan,39454955,15471958,Asia,2019
Korea,17463868,8636986,Asia,2019
United Kingdom,10570263,5213782,Eurpoe,2019
United States,10170511,26226410,North America,2019
India,9702220,3364138,Asia,2019
Singapore,8371746,7489223,Asia,2019
New Zealand,7076784,5559642,Oceania,2019
Malaysia,6183516,7800406,Asia,2019
"Hong Kong, China",5169101,417163,Asia,2019
